id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
0,Abietic Acid,,,300.44,1.058g/cm3,C20H28O2,,"Dehydroabietic acid(-)-Dehydroabietic acid1-Phenanthrenecarboxylic acid, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, (1R-(1alpha,4abeta,10aalpha))-,13-Isopropylpodocarpa-8,11,13-trien-15-oic acid,4-09-00-02389 (Beilstein Handbook Reference)Abieta-8,11,13-trien-18-oic acid,Abietic acid, dehydro-,BRN 2059290DehydroabietateNSC 2952Podocarpa-8,11,13-trien-15-oic acid, 13-isopropyl-,(1R-(1alpha,4Abeta,10aalpha))-1,2,3,4,4a,9,10,10a-octahydro-7-isopropyl-1,4a-dimethylphenanthren-1-carboxylic acid,1-Phenanthrenecarboxylic acid, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, (1R,4aS,10aR)-,Isopropyl podocarpa-8,11,13-trien-15-oic acid,(5beta)-abieta-8,11,13-trien-18-oic acid,",
1,Abietyl Alcohol,,,,,,,,
2,Acetaldehyde,,> 500 g/L (20???),44.05,0.788,C2H4O,,EthanalEthyl aldehydeAcetacdehydeAcetic Aldehyde,
3,Acetamide Mea,,,,,,,,
4,Acetamidoethoxybutyl Trimonium Chloride,,,,,,,,
5,Acetaminophen,,14 g/L (20???),151.16,,C8H9NO2,,Acetaminophen4-HydroxyacetanilideParacetamolAPAPp-HydroxyacetanilideParacetamol (Acetaminophen)4-Acetamino phenolAcetaminphenParacetamol DCN-Acetyl-4-aminophenolN-(4-hydroxyphenyl)acetamideAcetamiophen,
6,Acetaminosalol,,,,,,,,
7,Acetanilid,,5 g/L (25???),135.165,1.208g/cm3,C8H9NO,,"AcetanilideAntifebrinAcetanilide,(N-Phenylacetamide),N-PhenylacetamideN-(4-fluorophenyl)acetamide",
8,Acetic Acid,,,101.06,1.350 g/mL at 25 ??C,C2H3N3O2,,"2-azidoacetic acidtriazidoacetic acidAcetic acid, 2-azido-,Azide Acetic Acid",
9,Acetone,,soluble,58.08,0.79,C3H6O,,2-PropanonedimethylketalDimethyl ketonebeta-ketopropanechevron acetoneketone propaneMethyl ketonePropanonepyroacetic acidpyroacetic ether,
10,Acetyl Cysteine,,,,,,,,
11,Acetyl Glucosamine,,,,,,,,
12,Acetyl Glutamic Acid,,2.7 g/100 mL (20???),189.17,,C7H11NO5,,N-AcetylglutamateN-Acetyl-L-glutamateN-Acetyl-L-glutamic acidN-acetylglutamic acid(2S)-2-(acetylamino)pentanedioateAc-GlyAcetyl-L-glutamic acid,
13,Acetyl Glutamine,,,,,,,,
14,Acetyl Hexamethyl Indan,,,,,,,,
15,Acetyl Hexamethyl Tetralin,,2.5 mg l-1 (e),258.4,0.919g/cm3,C18H26O,,"Acetyl hexamethyl tetralin1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)ethan- one,6-Acetyl-1,1,2,4,4,7-hexamethyl-1,2,3,4-tetrahydronaphthalene,Ethanone, 1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)-,6-Acetyl-1,1,2,4,4,7-hexamethyltetralin,7-Acetyl-1,1,3,4,4,6-hexamethyl-1,2,3,4-tetrahydronaphthalene,7-Acetyl-1,1,3,4,4,6-hexamethyltetrahydronaphthalene,7-Acetyl-1,1,3,4,4,6-hexamethyltetralin,CCRIS 8403NSC 19550Tonalide1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one,Ethanone, 1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)- (VAN) (9CI),1-(3,5,5,6,8,8-hexamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)ethanone,Tonalid1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthalenyl)ethanone,",
16,Acetyl Methionine,,,,,,,,
17,Acetyl Tyrosine,,,,,,,,
18,Acetylated Sucrose Distearate,,,,,,,,
19,Achillea Millefolium Oil,,,,,,,,
20,Acid Black 1,,10 g/L (25???),616.49,,C22H14N6Na2O9S2,,"C.I. 20470C.I. Acid Black 1C.I. Acid Black 1, disodium salt,C.I. Acid Black 1 (7CI)C.I. Acid Black 1, disodium salt (8CI),4-Amino-5-hydroxy-3-(p-nitrophenylazo)-6-(phenylazo)-2,7-naphthalenedisulfonic aci,Amido SchwarzAniline Blue BlackAcid Black 1amido black staining solution*electrophoresis reaAcid Black 1 (C.I.)sodium 4-amino-5-hydroxy-3-(4-nitrophenylazo)-6-(phenylazo)naphthalene-2,7-disulphonate,Naphthalene black 10BAcid Black 2 (20470)Amido Black 10BNaphthol Blue BlackCI 20470Naphthaleneblackamidoschwarzdisodium 4-amino-5-hydroxy-3-[(E)-(4-nitrophenyl)diazenyl]-6-[(E)-phenyldiazenyl]naphthalene-2,7-disulfonate,disodium (3Z)-5-amino-6-[(E)-(4-nitrophenyl)diazenyl]-4-oxo-3-(2-phenylhydrazinylidene)-3,4-dihydronaphthalene-2,7-disulfonate,",
21,Acid Black 52,,,439.398,1.64g/cm3,C20H13N3O7S,,"C.I. Acid Black 52Acid black 52Acid Black 52C.I. 15711sodium 3-hydroxy-4-(2-hydroxy-1-naphthylazo)-7-nitronaphthalene-1-sulphonateAcid Black 52 (15711)4-[(2-hydroxynaphthalen-1-yl)hydrazono]-7-nitro-3-oxo-3,4-dihydronaphthalene-1-sulfonate,3-hydroxy-4-[(2-hydroxy-1-naphthyl)azo]-7-nitro-naphthalene-1-sulfonic acid",
22,Acid Blue 1,,,544.683,,C27H32N2O6S2,,"2-{[4-(Diethylamino)phenyl][4-(diethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}-5-sulfobenzenesulfonate,ethanaminium, N-[4-[[4-(diethylamino)phenyl](2,4-disulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, inner salt,4-{[4-(diethylamino)phenyl][4-(diethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}-3-sulfobenzenesulfonate,Acid Blue 1",
23,Acid Blue 3,,,,,,,C.I. Acid Blue 36Acid Blue 36,
24,Acid Blue 3,,,,,,,C.I. Acid Blue 36Acid Blue 36,
25,Acid Blue 3,,,,,,,C.I. Acid Blue 36Acid Blue 36,
26,Acid Blue 9,,,792.85,,C37H34N2Na2O9S3,,"Acid Blue EAC.I. 42090C.I. Acid Blue 9C.I. Acid Blue 9, diammonium salt,C.I. Direct Brown 78C.I. Direct Brown 78, Diammonium Salt,C.I. Acid Blue 9, diammonium salt (8CI),diammonium 2-[(Z)-{4-[ethyl(3-sulfonatobenzyl)amino]phenyl}{(4Z)-4-[ethyl(3-sulfonatobenzyl)iminio]cyclohexa-2,5-dien-1-ylidene}methyl]benzenesulfonate,N-{(1Z,4Z)-4-[{4-[ethyl(3-sulfobenzyl)amino]phenyl}(2-sulfophenyl)methylidene]cyclohexa-2,5-dien-1-ylidene}-N-(3-sulfobenzyl)ethanaminium,C.I.Acid Blue 9Acid blue 9",
27,Acid Blue 9,,,792.85,,C37H34N2Na2O9S3,,"Acid Blue EAC.I. 42090C.I. Acid Blue 9C.I. Acid Blue 9, diammonium salt,C.I. Direct Brown 78C.I. Direct Brown 78, Diammonium Salt,C.I. Acid Blue 9, diammonium salt (8CI),diammonium 2-[(Z)-{4-[ethyl(3-sulfonatobenzyl)amino]phenyl}{(4Z)-4-[ethyl(3-sulfonatobenzyl)iminio]cyclohexa-2,5-dien-1-ylidene}methyl]benzenesulfonate,N-{(1Z,4Z)-4-[{4-[ethyl(3-sulfobenzyl)amino]phenyl}(2-sulfophenyl)methylidene]cyclohexa-2,5-dien-1-ylidene}-N-(3-sulfobenzyl)ethanaminium,C.I.Acid Blue 9Acid blue 9",
28,Acid Blue 9,,,792.85,,C37H34N2Na2O9S3,,"Acid Blue EAC.I. 42090C.I. Acid Blue 9C.I. Acid Blue 9, diammonium salt,C.I. Direct Brown 78C.I. Direct Brown 78, Diammonium Salt,C.I. Acid Blue 9, diammonium salt (8CI),diammonium 2-[(Z)-{4-[ethyl(3-sulfonatobenzyl)amino]phenyl}{(4Z)-4-[ethyl(3-sulfonatobenzyl)iminio]cyclohexa-2,5-dien-1-ylidene}methyl]benzenesulfonate,N-{(1Z,4Z)-4-[{4-[ethyl(3-sulfobenzyl)amino]phenyl}(2-sulfophenyl)methylidene]cyclohexa-2,5-dien-1-ylidene}-N-(3-sulfobenzyl)ethanaminium,C.I.Acid Blue 9Acid blue 9",
29,Acid Blue 9,,,792.85,,C37H34N2Na2O9S3,,"Acid Blue EAC.I. 42090C.I. Acid Blue 9C.I. Acid Blue 9, diammonium salt,C.I. Direct Brown 78C.I. Direct Brown 78, Diammonium Salt,C.I. Acid Blue 9, diammonium salt (8CI),diammonium 2-[(Z)-{4-[ethyl(3-sulfonatobenzyl)amino]phenyl}{(4Z)-4-[ethyl(3-sulfonatobenzyl)iminio]cyclohexa-2,5-dien-1-ylidene}methyl]benzenesulfonate,N-{(1Z,4Z)-4-[{4-[ethyl(3-sulfobenzyl)amino]phenyl}(2-sulfophenyl)methylidene]cyclohexa-2,5-dien-1-ylidene}-N-(3-sulfobenzyl)ethanaminium,C.I.Acid Blue 9Acid blue 9",
30,Acid Blue 62,,,400.45,,C20H20N2O5S,,,
31,Acid Blue 74,,1 g/100 mL (25???),466.35,1.01 g/mL at 20 ??C,C16H8N2Na2O8S2,,"C.I. 75781C.I. Acid Blue 74C.I. Food Blue 1C.I. Food Blue 1, disodium salt,C.I. Natural Blue 2Indigotindisulfonate Sodium [USAN]5,5-Indigodisulfonic acid, disodium salt,Acid Blue 74disodium 5,5-(2-(1,3-dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one)disulphonate,disodium 5,5-indigodisulphonate,E 132Indigo-5,5-disulphonic acid disodium salt,1H-indole-5-sulfonic acid, 2-(1,3-dihydro-3-oxo-5-sulfo-2H-indol-2-ylidene)-2,3-dihydro-3-oxo-, disodium salt, (2E)-,disodium (2E)-3,3-dioxo-1,1,3,3-tetrahydro-2,2-biindole-5,5-disulfonate,",
32,Acid Brown 13,,,,,,,,
33,Acid Green 1,,30 mg/mL,878.46,,C30H15FeN3Na3O15S3,,"C.I. 10020C.I. Acid Green 1C.I. Acid Green 1 (VAN)C.I. Pigment Green 12Acid Green 1naphthol green B (C.I. 10020)abcolnaptholgreenbc.i.pigmentgreen12dandcgreen1extdandcgreenno.1ferrate(3-),tris(5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato(2-),ferrate(3-),tris[5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato(2-),Iron,tris[5,6-dihydro-5-(hydroxyimino)-6-oxo-2-naphthalenesulfonato-O5,O6]-,trisodiumsalt,naptholgreenb5-nitroso-6-oxidonaphthalene-2-sulfonate",
34,Acid Green 25,,36 g/L (20???),622.58,,C28H20N2Na2O8S2,,"C.I. 61570C.I. 61 570C.I. 61 570 [Czech]C.I. Acid Green 25C.I. Acid Green 25 disodium saltAlizarin Cyanine Green FAlizarin Cyanin Green GAlizarin Cyanone Green B ExtraAcid Green 25acid green 25 (C.I. 61570)Acid Green 25 (C.I.)disodium 2,2-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-methylsulphonate),disodium 2,2-(anthraquinone-1,4-diimino)bis(5-methylsulphonate),Alizarin cyanin green F",
35,Acid Green 50,,,576.62,,C27H25N2NaO7S2,,"C.I. 44090C.I. Acid Green 50C.I. Acid Green 50, monosodium salt,C.I. Food Green 4C.I. Acid Green 50, monosodium salt (8CI),Acid green 50Wool Green Slissamine green B (C.I. 44090)Brilliantsaeuregruensodium 4-{[4-(dimethylamino)phenyl][4-(dimethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}-3-hydroxynaphthalene-2,7-disulfonate,",
36,Acid Orange 3,,,452.37319,,C18H13N4NaO7S,,,
37,Acid Orange 6,,,604.59,,C26H21N4NaO8S2,,C.I. Acid Orange 67Acid Orange 67sodium 4-({3-[(E)-(2-methyl-4-{[(4-methylphenyl)sulfonyl]oxy}phenyl)diazenyl]phenyl}amino)-3-nitrobenzenesulfonatesodium 4-[[4-[2-methyl-4-(p-tolylsulfonyloxy)phenyl]azophenyl]amino]-3-nitro-benzenesulfonate,
38,Acid Orange 7,,116 g/L (30???),350.32,,C16H11N2NaO4S,,"C.I. 15510C.I. Acid Orange 7C.I. Acid Orange 7, monosodium salt,Orange II sodium salt4-(2-Hydroxy-1-naphthylazo)benzenesulfonic acid sodium saltSodium 4-[(2-hydroxy-1-naphthyl)azo]benzenesulphonateOrange ???Acid Orange II LakePigment Orange 17sodium 4-[(2E)-2-(2-oxonaphthalen-1(2H)-ylidene)hydrazino]benzenesulfonatesodium 4-[(E)-(2-hydroxynaphthalen-1-yl)diazenyl]benzenesulfonate",
39,Acid Orange 24,,,448.43,,C20H17N4NaO5S,,"C.I. Acid Orange 24, monosodium salt,D & C Brown no. 1Acid Orange 24 (C.I.)sodium 4-(3-xylylazo-2,4-dihydroxyphenylazo)benzenesulfonate,Acid orange 24sodium 4-[(2Z)-2-{(5E)-5-[(2,4-dimethylphenyl)hydrazono]-4,6-dioxocyclohex-2-en-1-ylidene}hydrazino]benzenesulfonate,sodium 4-[3-(2,3-dimethylphenyl)azo-2,4-dihydroxy-phenyl]azobenzenesulfonate,",
40,Acid Red 14,,,400.383,,C20H13N2NaO4S,,"C.I. 15625C.I. Acid Red 141C.I. Acid Red 141, monosodium salt (8CI),-5-[(2Z)-2-(2-oxonaphthalen-1(2H)-ylidene)hydrazino]naphthalene-1-sulfonic acidsodium 5-[(2E)-2-(2-oxonaphthalen-1(2H)-ylidene)hydrazino]naphthalene-1-sulfonate",
