id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
0,Abietic Acid,,"Soluble in acetone, petroleum ether, diethyl ether and ethanol. Insoluble in water.",302.45,1.06,C20H30O2,,"['ABIETIC ACID', 'Abietic acid', 'abietic acid, technical', 'abieta-7,13-dien-19-oate', 'Abieticacid,TechnicalGrade', 'abieta-7,13-dien-18-oic acid', '(9beta)-abieta-7,13-dien-19-oate', '(5beta)-abieta-7,13-dien-19-oate', 'ABIETIC ACID MELTING POINT 153-167 C', '(5beta,9beta)-abieta-7,13-dien-19-oate', '(5xi,9xi)-abieta-7,13-dien-18-oic acid', '13-isopropyl-podocarpa-13-dien-15-oicacid', '13-isopropylpodocarpa-7,13-dien-15-oicacid', '(1R,4AR,4BR,10AR)-7-ISOPROPYL-1,4A-DIMETHYL-1,2,3,4,4A,4B,5,6,10,10A-DECAHYDRO-PHENANTHRENE-1-CARBOXYLIC ACID']",
1,Abietyl Alcohol,,,,,,,,
2,Acetaldehyde,,> 500 g/L (20 °C),44.05,0.785 g/mL at 25 °C (lit.),C2H4O,,"['Ethanal', 'Acetaldeyd', 'Acetaldehyd', 'Acetaldeyde', 'Acetacdehyde', 'Acetaldehyde', 'Ethyl aldehyde', 'Acetic Aldehyde', 'FORMALIN, CARSONS', 'acetaldehyde(ethanal)', 'FORMALDEHYDE, BUFFERED', 'FORMALDEHYDE, CARSON-MILLON', 'FORMALDE-FRESH SOLUTION, BUFFERED']",
3,Acetamide Mea,,"Soluble in water, 1e+006 mg/L @ 25°C (est), soluble in alcohol and ether.",103.12,1.12 g/mL at 25 °C (lit.),C4H9NO2,,"['Acetamide MEA', 'Lipamide MEAA', 'Acetylcolamine', 'N-Acetylethanolamine', '2-acetylamino-ethanol', 'Mackamide AME-75, AME-100', 'n-(2-hydroxyethyl)-acetamid', 'N-(2-Hydroxyethyl)acetamide', 'N-(beta-Hydroxyethyl)acetamide']",
4,Acetamidoethoxybutyl Trimonium Chloride,,,,,,,,
5,Acetaminophen,,14 g/L (20 °C),151.16,"1,293 g/cm3",C8H9NO2,,"['APAP', 'Paracetamol', 'Acetaminphen', 'Acetamiophen', 'Acetaminophen', 'PARACETAMOL BP', 'Paracetamol DC', 'PARACETAMOL BP98', '4-Acetamidophenol', 'PARACETAMOL BP2001', '4-Acetamino phenol', 'PARACETAMOL POWDER', '4-Hydroxyacetanilide', 'PARACETAMOL DC GRADE', 'p-Hydroxyacetanilide', 'PARACETAMOL POWDER BP', 'PARACETAMOL USP23,BP98', 'N-Acetyl-4-aminophenol', 'Paracetamol (Acetaminophen)', 'N-(4-hydroxyphenyl)acetamide']",
6,Acetaminosalol,,,271.27,,C15H13NO4,,"['SALOPHEN', 'Asalphen', 'Phenetsal', 'acetaminosalol', '4-acetamidophenyl salicylate', 'p-Acetamidophenyl salicylate', 'ACETYL-P-AMINOPHENYLSALICYLATE', '2-HYDROXYBENZOIC ACID 4-(ACETYLAMINO)PHENYL ESTER']",
7,Acetanilid,,,,,,,,
8,Acetic Acid,,miscible,60.05,1.049 g/mL at 25 °C(lit.),C2H4O2,,"['GAA', 'Acetic acid', 'Ethanoic acid', 'WIJS CHLORIDE', 'WIJS SOLUTION', 'Natural Acetic Acid', 'Acetic Acid Glacial', 'Glacial acetic acid', 'Acetic Acid, Glacial', 'Acetic Acid Glacial BP', 'Natural     Acetic Acid']",
9,Acetone,,soluble,58.08,0.791g/mLat 25°C(lit.),C3H6O,,"['Acetone', '(CH3)2CO', 'Propanone', '2-Propanon', '2-Propanone', '-Ketopropane', 'ketonepropane', 'dimethylketal', 'Methyl ketone', 'ketone propane', 'GRAM STAIN NO 3', 'Dimethyl ketone', 'pyroacetic acid', 'chevron acetone', 'ketone,dimethyl', 'ACETONE ALCOHOL', 'pyroacetic ether', 'beta-ketopropane', 'GRAMS DECOLORIZER']",
