id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
0,ABIETIC ACID,,"Soluble in acetone, petroleum ether, diethyl ether and ethanol. Insoluble in water.",302.45,1.06,C20H30O2,[H][C@]12CCC(=CC1=CC[C@@]1([H])[C@@](C)(CCC[C@]21C)C(O)=O)C(C)C,"['ABIETIC ACID', 'Abietic acid', 'abietic acid, technical', 'abieta-7,13-dien-19-oate', 'Abieticacid,TechnicalGrade', 'abieta-7,13-dien-18-oic acid', '(9beta)-abieta-7,13-dien-19-oate', '(5beta)-abieta-7,13-dien-19-oate', 'ABIETIC ACID MELTING POINT 153-167 C', '(5beta,9beta)-abieta-7,13-dien-19-oate', '(5xi,9xi)-abieta-7,13-dien-18-oic acid', '13-isopropyl-podocarpa-13-dien-15-oicacid', '13-isopropylpodocarpa-7,13-dien-15-oicacid', '(1R,4AR,4BR,10AR)-7-ISOPROPYL-1,4A-DIMETHYL-1,2,3,4,4A,4B,5,6,10,10A-DECAHYDRO-PHENANTHRENE-1-CARBOXYLIC ACID']","emulsion stabilising,surfactant"
1,ABIETYL ALCOHOL,,1.26e-4,288.475,1.00,C20H32O,CC(C)C1=CC2=CC[C@H]3[C@](C)(CO)CCC[C@]3(C)[C@H]2CC1,abietyl alcohol,viscosity controlling
2,ACETALDEHYDE,-034,> 500 g/L (20 °C),44.05,0.785 g/mL at 25 °C (lit.),C2H4O,Structure,"['Ethanal', 'Acetaldeyd', 'Acetaldehyd', 'Acetaldeyde', 'Acetacdehyde', 'Acetaldehyde', 'Ethyl aldehyde', 'Acetic Aldehyde', 'FORMALIN, CARSONS', 'acetaldehyde(ethanal)', 'FORMALDEHYDE, BUFFERED', 'FORMALDEHYDE, CARSON-MILLON', 'FORMALDE-FRESH SOLUTION, BUFFERED']","Additives,binder,unknown,fragrance,Solvent,fragrance component,masking,nail conditioning,flavouring,Corrosion Inhibitor"
3,ACETAMIDE MEA,,"Soluble in water, 1e+006 mg/L @ 25°C (est), soluble in alcohol and ether.",103.12,1.12 g/mL at 25 °C (lit.),C4H9NO2,CC(=O)NCCO,"['Acetamide MEA', 'Lipamide MEAA', 'Acetylcolamine', 'N-Acetylethanolamine', '2-acetylamino-ethanol', 'Mackamide AME-75, AME-100', 'n-(2-hydroxyethyl)-acetamid', 'N-(2-Hydroxyethyl)acetamide', 'N-(beta-Hydroxyethyl)acetamide']","Surfactant,Hair Conditioning Agent,Hair conditioning agent,antistatic,foam boosting,hair conditioning,humectant,skin conditioning,surfactant,viscosity controlling,hair conditioning agent,skin-conditioning agent - humectant,surfactant - foam booster,viscosity increasing agent - aqueous"
4,ACETAMIDOETHOXYBUTYL TRIMONIUM CHLORIDE,,2.10,252.78,Not found,C11H25ClN2O2,[Cl-].CC(=O)NCCOCCCC[N+](C)(C)C,acetamidoethoxybutyl trimonium chloride,"antistatic,emollient,hair conditioning,skin conditioning"
5,ACETAMINOPHEN,,14 g/L (20 °C),151.16,"1,293 g/cm3",C8H9NO2,CC(=O)NC1=CC=C(O)C=C1,"['APAP', 'Paracetamol', 'Acetaminphen', 'Acetamiophen', 'Acetaminophen', 'PARACETAMOL BP', 'Paracetamol DC', 'PARACETAMOL BP98', '4-Acetamidophenol', 'PARACETAMOL BP2001', '4-Acetamino phenol', 'PARACETAMOL POWDER', '4-Hydroxyacetanilide', 'PARACETAMOL DC GRADE', 'p-Hydroxyacetanilide', 'PARACETAMOL POWDER BP', 'PARACETAMOL USP23,BP98', 'N-Acetyl-4-aminophenol', 'Paracetamol (Acetaminophen)', 'N-(4-hydroxyphenyl)acetamide']","analgesic,Active - Pain reliever,skin conditioning,proprietary,stabilising"
6,ACETAMINOSALOL,2562,1.39e-4,271.27,1.327 g cm−3,C15H13NO4,CC(=O)NC1=CC=C(OC(=O)C2=CC=CC=C2O)C=C1,"['SALOPHEN', 'Asalphen', 'Phenetsal', 'acetaminosalol', '4-acetamidophenyl salicylate', 'p-Acetamidophenyl salicylate', 'ACETYL-P-AMINOPHENYLSALICYLATE', '2-HYDROXYBENZOIC ACID 4-(ACETYLAMINO)PHENYL ESTER']","antimicrobial,uv absorber"
7,ACETANILID,,5.58e-2,135.166,1.11,C8H9NO,CC(=O)NC1=CC=CC=C1,"acetanilide,Acetanilide,acetanilid","fragrance component,masking,stabilising"
8,ACETIC ACID,,miscible,60.05,1.049 g/mL at 25 °C(lit.),C2H4O2,CC(O)=O,"['GAA', 'Acetic acid', 'Ethanoic acid', 'WIJS CHLORIDE', 'WIJS SOLUTION', 'Natural Acetic Acid', 'Acetic Acid Glacial', 'Glacial acetic acid', 'Acetic Acid, Glacial', 'Acetic Acid Glacial BP', 'Natural     Acetic Acid']","---,Buffering Agent,Acidifiers,Chemicals added that influence or buffer pH,contaminant,unknown,ph adjuster,Refining Agents (must be eliminated during process of manufacturing),acid,pH adjustment,pH control,Fragrance Component,fragrance component,buffering,masking,fragrance ingredient,flavouring,ph regulating agent,pH Adjusting Agent,Iron Control,admixture ingredient"
9,ACETONE,−0.16[11],soluble,58.08,0.791g/mLat 25°C(lit.),C3H6O,Structure,"['Acetone', '(CH3)2CO', 'Propanone', '2-Propanon', '2-Propanone', '-Ketopropane', 'ketonepropane', 'dimethylketal', 'Methyl ketone', 'ketone propane', 'GRAM STAIN NO 3', 'Dimethyl ketone', 'pyroacetic acid', 'chevron acetone', 'ketone,dimethyl', 'ACETONE ALCOHOL', 'pyroacetic ether', 'beta-ketopropane', 'GRAMS DECOLORIZER']","Solvent,solvents,organic solvents,Denaturants/ solvent,glue component,solvent,akzo nobel lacquer thinner : solvent,nitrile butadene glue,finish,unknown,composition on ingredients of polyurethane foam,composition on ingredients sher-wood dye stain, lo voc black walnut ngr,composition on ingredients of sher-wood hi-bild precat lacquer, dre,solubilizer,Solvents,fragrance component,solublizer,carrier,Carrier,Solubilizer,denaturant,fragrance ingredient,flavouring,cleaner,impurity,residual,acetone,binder for base material"
