,Functionality,Canonical_smiles,Chemical Name,Smiles,Functionality.1,Functionality 0,Functionality 1,Functionality 2,Functionality 3,Functionality 4,Functionality 5,Functionality 6,Functionality 7,Functionality 8,Functionality 9,Functionality 10,Functionality 11,Functionality 12,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAromaticCarbocycles,NumSaturatedHeterocycles,NumSaturatedCarbocycles,NumAliphaticHeterocycles,NumAliphaticCarbocycles,RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,abrasive,absorbent,anticaking,anticorrosive,antidandruff,antifoaming,antimicrobial,antioxidant,antiperspirant,antiplaque,antiseborrhoeic,antistatic,astringent,binding,bleaching,buffering,bulking,chelating,cleansing,cosmeticcolorant,denaturant,deodorant,depilatory,detangling,emollient,emulsifying,emulsionstabilising,filmforming,foamboosting,foaming,gelforming,hairconditioning,hairdyeing,hairfixing,hairwavingorstraightening,humectant,hydrotrope,keratolytic,masking,moisturising,nailconditioning,opacifying,oralcare,oxidising,pearlescent,plasticiser,preservative,propellant,reducing,refatting,refreshing,skinconditioning,skinprotecting,smoothing,solvent,soothing,stabilising,surfactant,tanning,tonic,uvabsorber,uvfilter,viscositycontrolling
0,emulsionstabilising,CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,ABIETIC ACID,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,Emulsion stabilising,Emulsion stabilising,,,,,,,,,,,,,1.99874724,541.9104984,80295.79754,-1.05,15.83085779,5.2472583,2.177740818,16.12095586,10.28736481,14.48485392,8.927237601,8.539617823,7.068272528,5.600576415,14.48485392,8.927237601,8.539617823,7.068272528,5.600576415,5.2062,89.5358,302.458,302.2245802,22,272.218,1,2,1,1,2,2,122,0,0,1,3,0,0,0,1,0,3,3,0.75,0,0,37.3,134.2322075,5.106527395,4.794537184,0,0,0,44.91717797,67.76965845,0,5.414990469,0,0,0,0,5.969305288,9.901064579,0,0,28.58369908,66.21987854,0,23.29824927,0,0,5.969305288,0,11.07583268,4.794537184,28.58369908,66.21987854,23.29824927,0,0,0,0,0,0,11.94201881,11.94201881,0.161193311,-0.588429653,11.38429576,11.33289652,11.83581209,19.26246487,24.8355694,5.57310453,6.9237372,32.92325181,0,9.901064579,0,0,11.94201881,9.829133439,2.690410538,0.888186873,0,11.21703053,8.933219807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,viscositycontrolling,CC(C)C1=CC2=CCC3C(C)(CO)CCCC3(C)C2CC1,ABIETYL ALCOHOL,CC(C)C1=CC2=CCC3C(CCCC3(C2CC1)C)(C)CO,Viscosity controlling,Viscosity controlling,,,,,,,,,,,,,1.967581329,472.2300864,56067.88192,-0.56,15.34008293,5.262967251,2.324015745,15.25071238,9.904649305,14.28371241,8.919287815,8.629142415,7.064855898,5.663155388,14.28371241,8.919287815,8.629142415,7.064855898,5.663155388,5.1139,88.9858,288.475,288.2453156,21,256.219,1,1,1,1,1,2,118,0,0,1,3,0,0,0,1,0,3,3,0.8,0,0,20.23,130.0706854,5.106527395,0,0,0,0,51.84091517,66.26091172,6.606881965,0,0,0,0,0,0,5.106527395,0,0,28.58369908,66.21987854,6.606881965,23.29824927,0,0,0,0,11.71340936,0,28.58369908,66.21987854,23.29824927,0,0,0,0,0,0,9.981911217,9.981911217,0.135981552,0.135981552,0,5.414990469,23.85768453,5.917906046,38.52492974,11.14620906,0,39.84698901,0,5.106527395,0,0,0,9.981911217,3.793303716,2.072100065,0,12.63287213,9.853146208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,nailconditioning,CC=O,ACETALDEHYDE,CC=O,Nail conditioning,Nail conditioning,,,,,,,,,,,,,2.187496097,10.26466251,2.754887502,-0.33,2.67,1.67,1.67,2.707106781,1.414213562,1.98559856,0.81305253,0.23570226,0,0,1.98559856,0.81305253,0.23570226,0,0,0.2052,11.738,44.053,44.02621475,3,40.021,0,1,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,17.07,19.26571524,4.794537184,0,0,0,0,0,6.9237372,0,0,6.286160523,0,0,0,0,4.794537184,0,0,0,6.9237372,0,0,0,0,6.286160523,0,6.286160523,4.794537184,0,6.9237372,0,0,0,0,0,0,0,8.805555556,8.805555556,0.75,0.75,0,0,0,6.286160523,6.9237372,0,0,0,4.794537184,0,0,0,8.805555556,0,0,0,0,0.75,1.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"antistatic,humectant",CC(=O)NCCO,ACETAMIDE MEA,CC(=O)NCCO,Antistatic/humectant,Antistatic,humectant,,,,,,,,,,,,2.821938937,62.71013448,29.01955001,-0.57,6.43,3.614162063,5.43,5.698670613,3.27005561,4.269675448,2.123905302,1.206569711,0.485748878,0.231932736,4.269675448,2.123905302,1.206569711,0.485748878,0.231932736,-0.8852,25.7695,103.121,103.0633285,7,94.049,2,3,2,2,3,2,42,1,0,0,0,0,0,0,0,0,0,0,0.75,0,0,49.33,42.33969541,10.423316,4.794537184,0,0,0,0,0,13.46849361,6.606881965,0,0,5.907179729,0,0,9.901064579,0,5.316788604,0,6.9237372,13.15163837,0,0,0,5.907179729,5.316788604,24.16534549,4.794537184,0,6.9237372,0,0,0,0,0,0,0,9.980416667,9.980416667,0.013472222,-0.102731481,0,12.51406169,6.544756406,0,6.9237372,0,0,5.316788604,5.106527395,4.794537184,0,0,9.980416667,10.50666667,0,-0.102731481,0,0,1.782314815,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"antistatic,emollient,hairconditioning",CC(=O)NCCOCCCC[N+](C)(C)C.[Cl-],ACETAMIDOETHOXYBUTYL TRIMONIUM CHLORIDE,CC(=O)NCCOCCCC[N+](C)(C)C.[Cl-],Antistatic/emollient/hair conditioning,Antistatic,emollient,hair conditioning,,,,,,,,,,,0,181.313601,1175.373257,-0.32,18.05618413,9.874296361,16.12274254,11.73420452,6.916502219,10.88431534,5.542896358,4.816373012,1.98795453,1.191562122,11.64024428,5.542896358,4.816373012,1.98795453,1.191562122,-2.3705,61.6361,252.786,252.1604557,16,227.586,1,4,2,1,5,8,98,1,0,0,0,0,0,0,0,0,0,0,0.909090909,0,0,38.33,105.3365001,26.94371558,4.794537184,0,0,0,0,12.84164325,20.07537557,34.29465432,0,0,5.907179729,0,0,26.42146416,0,5.316788604,0,19.76538045,47.44629269,0,0,0,5.907179729,17.72382177,57.83650328,9.531400138,0,19.76538045,0,0,0,0,0,0,0,10.52056596,10.52056596,0,0,0,18.31421289,13.15163837,17.51073445,19.88931523,0,0,26.45980455,4.736862954,4.794537184,0,6.382959834,10.52056596,2.69365662,0,0.003363492,0,2.277012235,4.712808115,6.576300413,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,stabilising,CC(=O)Nc1ccc(O)cc1,ACETAMINOPHEN,CC(=O)NC1=CC=C(C=C1)O,Stabilising,Stabilising,,,,,,,,,,,,,2.736298072,253.2994976,285.5107405,-1.51,7.595374078,3.053138101,2.292303973,8.267584714,5.18154055,6.164862963,3.249098148,2.228060242,1.187673315,0.748026599,6.164862963,3.249098148,2.228060242,1.187673315,0.748026599,1.3506,42.4105,151.165,151.0633285,11,142.093,2,3,2,2,3,1,58,1,1,0,0,0,1,0,0,0,0,1,0.125,0,0,49.33,64.66690538,10.423316,4.794537184,0,0,0,0,24.26546827,12.61112347,0,5.749511833,0,5.907179729,0,0,9.901064579,0,0,0,6.9237372,5.316788604,24.26546827,0,5.749511833,11.594566,5.316788604,11.01370712,4.794537184,0,6.9237372,24.26546827,0,0,0,5.687386275,5.749511833,0,10.52446854,10.52446854,0.115102041,-0.115102041,0,11.65669156,5.687386275,0,19.05647134,12.13273414,0,5.316788604,5.106527395,4.794537184,0,0,10.52446854,11.4600326,0.690092593,0.07851096,6.309537037,0,1.437358277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,antimicrobial,CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,ACETAMINOSALOL,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,Antimicrobial,Antimicrobial,,,,,,,,,,,,,2.085161709,634.5767025,31575.07721,-2.82,13.60794158,5.880450639,3.351087458,14.53516943,9.558550648,10.79076062,5.938820853,4.112232222,2.509197255,1.617841983,10.79076062,5.938820853,4.112232222,2.509197255,1.617841983,2.5698,73.811,271.272,271.0844579,20,258.168,2,5,4,2,5,3,102,1,2,0,0,0,2,0,0,0,0,2,0.066666667,0,0,75.63,115.364009,15.16017895,4.794537184,4.794537184,0,0,12.13273414,36.39820241,12.61112347,0,17.06247516,0,5.907179729,0,5.969305288,19.43246472,0,0,0,6.9237372,5.316788604,54.09438804,0,11.49902367,17.56387129,10.05365156,16.98301241,4.794537184,0,17.28172588,48.53093655,0,0,0,5.687386275,11.49902367,0,11.84564781,11.84564781,0.095775463,-0.643169354,5.969305288,17.22014305,11.43689811,0,19.05647134,36.39820241,0,5.316788604,4.736862954,14.69560176,0,5.129590892,22.71972994,12.16056938,0.706754456,-0.625878403,12.50038736,0,1.408846379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,stabilising,CC(=O)Nc1ccccc1,ACETANILID,CC(=O)NC1=CC=CC=C1,Stabilising,Stabilising,,,,,,,,,,,,,2.674241602,217.9590175,195.625462,-1.31,6.805074799,3.011779445,1.895375402,7.397341225,4.7876937,5.794999636,3.114807748,2.047211622,1.094157672,0.724749318,5.794999636,3.114807748,2.047211622,1.094157672,0.724749318,1.645,40.7457,135.166,135.0684139,10,126.094,1,2,1,1,2,1,52,1,1,0,0,0,1,0,0,0,0,1,0.125,0,0,29.1,59.87267163,5.316788604,4.794537184,0,0,0,18.19910121,12.13273414,12.61112347,0,0,0,5.907179729,0,0,4.794537184,0,0,0,6.9237372,5.316788604,30.33183534,0,0,11.594566,5.316788604,5.907179729,4.794537184,0,6.9237372,30.33183534,0,0,0,5.687386275,0,0,10.50204082,10.50204082,0.035925926,-0.035925926,0,5.907179729,0,5.687386275,6.9237372,0,30.33183534,5.316788604,0,4.794537184,0,0,10.50204082,2.665833333,0.842592593,-0.035925926,9.365736961,0,1.493055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,buffering,CC(=O)O,ACETIC ACID,CC(=O)O,Buffering,Buffering,,,,,,,,,,,,,2.803039488,27.01955001,3.245112498,-0.53,3.47,0.8748583,1.156009256,3.577350269,1.732050808,2.355461886,0.927730943,0.519018036,0,0,2.355461886,0.927730943,0.519018036,0,0,0.0909,13.3098,60.052,60.02112937,4,56.02,1,2,1,1,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,37.3,24.05994899,5.106527395,4.794537184,0,0,0,0,0,6.9237372,0,0,0,0,5.969305288,0,9.901064579,0,0,0,6.9237372,0,0,0,0,5.969305288,0,11.07583268,4.794537184,0,6.9237372,0,0,0,0,0,0,0,9,9,0.833333333,-0.833333333,5.969305288,0,0,6.9237372,0,0,0,0,9.901064579,0,0,0,9,7.416666667,0,-0.833333333,0,0,1.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"denaturant,solvent",CC(C)=O,ACETONE,CC(=O)C,Denaturant/solvent,Denaturant,solvent,,,,,,,,,,,,2.803039488,26.26466251,3.245112498,-0.33,3.67,1.044531835,6.883957759,3.577350269,1.732050808,2.90824829,1.204124145,0.90824829,0,0,2.90824829,1.204124145,0.90824829,0,0,0.5953,16.355,58.08,58.04186481,4,52.032,0,1,1,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,17.07,25.63065736,4.794537184,0,0,0,0,0,13.8474744,0,0,5.783244946,0,0,0,0,4.794537184,0,0,0,13.8474744,0,0,0,0,5.783244946,0,5.783244946,4.794537184,0,13.8474744,0,0,0,0,0,0,0,9.444444444,9.444444444,0.166666667,0.166666667,0,5.783244946,0,0,13.8474744,0,0,0,0,4.794537184,0,0,9.444444444,0,0,0.166666667,0,0,3.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
